;"MeanDecreaseGini"
"tGravityAcc.mean...X";131.8477231779
"tGravityAcc.energy...X";130.7088282612
"tGravityAcc.min...Y";130.677885042
"tGravityAcc.min...X";130.128412577
"tGravityAcc.max...X";125.8268220914
"angle.Y.gravityMean.";121.4547887406
"angle.X.gravityMean.";119.0410009422
"tGravityAcc.max...Y";115.7352732099
"tGravityAcc.mean...Y";110.0905069168
"tGravityAcc.energy...Y";77.8972557374
"tBodyAcc.max...X";47.352591377
"fBodyAccJerk.bandsEnergy...1.16";46.7324225997
"angle.Z.gravityMean.";44.3733597587
"tGravityAcc.min...Z";43.9631984447
"tGravityAccMag.mad..";41.0606131893
"tGravityAcc.max...Z";39.9527176068
"fBodyAcc.mad...X";39.7657848009
"tGravityAcc.entropy...Y";39.0557284756
"tGravityAcc.arCoeff...Z.1";35.988444508
"tGravityAccMag.std..";35.6913127253
"fBodyAccMag.energy..";35.6336541609
"tBodyAccMag.std..";35.574808612
"fBodyAccJerk.std...X";34.8606647508
"fBodyAccMag.mad..";34.6262346433
"tGravityAcc.arCoeff...Y.1";33.6243031103
"tBodyGyroJerk.iqr...X";33.5026614708
"fBodyAccJerk.mean...X";32.5498516353
"tGravityAcc.arCoeff...X.1";32.4984732834
"tBodyAccMag.mad..";32.4975128411
"fBodyAccJerk.mad...X";31.9732123365
"fBodyAcc.bandsEnergy...1.16";31.8429098141
"tGravityAcc.mean...Z";30.7540752796
"tBodyAccJerk.iqr...Y";30.6579839175
"tGravityAcc.arCoeff...X.3";30.6346788142
"fBodyAccMag.std..";30.4444196152
"fBodyAccJerk.bandsEnergy...1.24";30.2429606094
"tGravityAcc.arCoeff...Z.3";29.7751897355
"tGravityAcc.arCoeff...Y.2";28.156298584
"fBodyAcc.mean...X";27.4897308485
"tGravityAcc.energy...Z";27.3546597881
"tGravityAcc.arCoeff...Z.2";26.7106952656
"fBodyAccJerk.bandsEnergy...1.8";26.1359802113
"tBodyAccJerk.mad...X";25.8305405053
"tGravityAcc.arCoeff...Y.3";25.044475515
"tBodyAccJerkMag.mean..";24.8622254536
"tGravityAcc.arCoeff...X.2";24.1485737218
"tBodyAccJerk.energy...X";24.0240376278
"fBodyAccMag.mean..";23.9015655022
"fBodyAcc.bandsEnergy...1.24";23.8043928361
"fBodyAccMag.sma..";23.7348893938
"tBodyAcc.correlation...X.Y";23.5297901949
"tBodyAccJerkMag.energy..";23.4275733315
"fBodyAccJerk.max...X";23.3270692837
"tBodyAccJerk.entropy...X";23.2335472708
"tBodyAccJerk.iqr...X";23.1306372859
"tGravityAcc.sma..";22.9175550114
"tBodyAccJerk.mad...Y";22.3975449144
"tBodyGyroJerk.mad...Z";22.3349527187
"tBodyAccJerk.sma..";22.1202143092
"fBodyAcc.bandsEnergy...1.8";22.0609258917
"fBodyAccJerk.energy...X";21.8823918343
"tBodyAcc.energy...X";21.5544871559
"tGravityAcc.arCoeff...Y.4";21.349209903
"tBodyGyroJerk.iqr...Z";21.3478461039
"tBodyAccMag.arCoeff..1";21.0540615324
"tGravityAccMag.arCoeff..1";21.0469169684
"fBodyAccJerk.energy...Y";20.7057338828
"tBodyAcc.std...X";20.5795391667
"tBodyAccJerkMag.sma..";19.9558840953
"fBodyAcc.entropy...X";19.8110556905
"tBodyAccJerkMag.entropy..";19.6649119365
"fBodyAccJerk.bandsEnergy...1.16.1";19.3056096546
"tBodyAccJerk.energy...Y";18.4938140323
"fBodyGyro.maxInds.Z";18.4880499009
"tGravityAcc.arCoeff...X.4";18.2717845012
"tGravityAcc.arCoeff...Z.4";18.1747773309
"fBodyAcc.energy...X";17.7284094522
"tBodyAcc.correlation...Y.Z";16.640258139
"tBodyAcc.mad...X";16.3597328468
"tGravityAcc.correlation...X.Y";16.2471170653
"tBodyAccJerk.std...X";15.7034726024
"fBodyAccJerk.entropy...X";15.4838984567
"fBodyAcc.std...X";15.3193418155
"fBodyAccJerk.entropy...Y";15.2462188224
"fBodyAccJerk.max...Y";14.9314052952
"tGravityAcc.entropy...X";14.9113436294
"fBodyAcc.max...X";14.7742095476
"tBodyGyroJerk.entropy...Z";14.7153756587
"tGravityAccMag.max..";13.8050727592
"tBodyGyro.iqr...X";13.7130567882
"fBodyGyro.bandsEnergy...1.16";13.5954902488
"fBodyAccJerk.std...Y";13.3822988856
"fBodyGyro.maxInds.X";13.2942193144
"tGravityAcc.correlation...Y.Z";13.0688204578
"fBodyAccJerk.bandsEnergy...1.24.1";13.0081072041
"fBodyGyro.meanFreq...X";12.8811067092
"tBodyAccMag.max..";12.7743900265
"tBodyGyroJerk.mad...X";11.9330562054
"tBodyAccJerk.max...X";11.6732555513
"fBodyGyro.bandsEnergy...1.8";11.4993602291
"tBodyGyro.max...X";11.3646448076
"tBodyAccJerkMag.iqr..";11.2698916725
"tBodyAccMag.energy..";11.2292889502
"fBodyGyro.bandsEnergy...1.24";11.1212084133
"fBodyGyro.energy...X";10.9326106098
"tGravityAcc.std...X";10.2699771528
"fBodyAcc.meanFreq...Z";10.202342327
"fBodyGyro.std...X";9.95251631
"tBodyAccJerkMag.mad..";9.7691161638
"fBodyBodyAccJerkMag.max..";9.7635451872
"tBodyGyro.entropy...X";9.5204184563
"fBodyAccJerk.maxInds.X";9.4995408587
"tBodyAccJerk.std...Y";9.4857822579
"fBodyAccMag.entropy..";9.4369762303
"fBodyAccJerk.mad...Y";9.2822665096
"fBodyGyro.max...X";9.2420086746
"tBodyAcc.iqr...X";9.1894663453
"tGravityAcc.mad...X";9.1313469488
"fBodyGyro.mad...X";9.063626386
"tBodyGyroJerk.sma..";8.9056724474
"fBodyAcc.bandsEnergy...1.8.1";8.8765802033
"tBodyGyroJerkMag.mean..";8.5079655831
"fBodyAcc.bandsEnergy...9.16";8.3926119941
"tBodyGyro.correlation...Y.Z";8.2992698417
"fBodyGyro.sma..";8.1164459124
"tBodyGyro.mad...X";7.9594996562
"fBodyAccMag.max..";7.7074108472
"tBodyGyro.std...X";7.5534072182
"fBodyGyro.bandsEnergy...9.16";7.4287140102
"tBodyGyroJerk.energy...X";7.1608728774
"tBodyGyro.energy...X";7.1443846715
"fBodyGyro.entropy...X";6.9963238828
"fBodyAccMag.iqr..";6.9848825142
"fBodyAccMag.meanFreq..";6.8562011535
"fBodyAccJerk.sma..";6.8543915904
"fBodyAccJerk.iqr...X";6.7369605434
"fBodyGyro.mean...X";6.6748799045
"fBodyGyro.maxInds.Y";6.6725649816
"tBodyGyro.min...X";6.6218230194
"fBodyBodyGyroMag.meanFreq..";6.5972932214
"fBodyBodyAccJerkMag.std..";6.5475700599
"tGravityAccMag.arCoeff..2";6.491766192
"tBodyAcc.correlation...X.Z";6.4248925853
"fBodyAcc.meanFreq...X";6.0140240585
"fBodyAccJerk.maxInds.Z";5.9547688997
"tBodyGyro.iqr...Y";5.6925379525
"fBodyBodyAccJerkMag.sma..";5.599500537
"tBodyGyroJerk.std...X";5.5052199337
"tBodyGyroJerk.arCoeff...X.1";5.4331945219
"fBodyBodyAccJerkMag.mad..";5.3809921131
"tBodyGyro.mean...X";5.299950532
"tBodyGyroJerk.correlation...X.Y";5.2718283692
"fBodyBodyGyroMag.maxInds";5.2439242494
"fBodyAccJerk.energy...Z";5.2355342995
"tBodyAccMag.arCoeff..2";5.121525317
"tBodyGyroJerkMag.sma..";5.1095783508
"tBodyGyroJerk.energy...Z";5.0839474294
"fBodyAcc.skewness...X";5.047723636
"tBodyGyro.correlation...X.Y";5.0235942262
"tGravityAcc.std...Y";5.0224817576
"fBodyAccJerk.bandsEnergy...1.8.1";5.0039307782
"fBodyAccJerk.mean...Y";4.8805685823
"fBodyAcc.kurtosis...X";4.8759250691
"tGravityAccMag.energy..";4.8512484021
"tBodyAccJerk.entropy...Y";4.8035538836
"tBodyAccJerk.iqr...Z";4.7694886254
"tBodyAccJerkMag.std..";4.5635762934
"fBodyAcc.max...Y";4.5299411049
"tGravityAcc.iqr...X";4.5281991223
"fBodyAccJerk.bandsEnergy...33.48";4.4821601663
"tBodyGyro.iqr...Z";4.3706689534
"fBodyAcc.skewness...Y";4.3293920359
"tBodyAcc.entropy...X";4.3005376791
"subject";4.0102675684
"tBodyGyroJerk.min...X";3.9847724067
"tBodyGyro.mean...Z";3.9496457364
"tBodyAccJerk.entropy...Z";3.8996714287
"fBodyGyro.skewness...X";3.8720976793
